,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_iter,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,param_PCA__n_components,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,3.367199754714966,0.43137583754386166,0.007750654220581054,0.003920852626762317,10000,"(20, 15, 10, 1)",0.0002,relu,5,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 5}",-238.84178503745025,-245.50914986284667,-256.2299000358459,-260.9304558947023,-277.5670433372441,-255.81566683361785,13.370056031197372,1,0.8598255190173353,0.7755018629950567,0.6691572489014486,0.7278095823227301,0.7485919003946628,0.7561772227262468,0.06253182713941759,1
30,4.642053174972534,0.7036999349751202,0.006400060653686523,0.001372971401506459,10000,"(15, 15, 10)",0.0001,relu,9,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 9}",-265.4469056364505,-237.1255712713528,-282.98710198360976,-281.332001774242,-290.2258216686824,-271.4234804668675,18.960433505792896,2,0.8268575039017855,0.7905722837834257,0.5964519133547439,0.6835817249611872,0.725137453684549,0.7245201759371384,0.08113399697646143,2
5,3.379086494445801,2.0987523402615627,0.006142044067382812,0.005018290116058268,20000,"(15, 15, 10)",0.0003,relu,8,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 8}",-252.9989668144438,-226.69636220543774,-282.20198862014877,-328.6617203812518,-396.7501900872277,-297.4618456217019,60.081897444056864,3,0.8427155328591643,0.8085891822835588,0.5986879975355244,0.5681613253091593,0.48633762716608653,0.6608983330306987,0.13986550652824584,3
24,3.6050119400024414,2.587079020565843,0.006413459777832031,0.001970772526318352,10000,"(15, 10, 10, 1)",0.0002,relu,11,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 11}",-330.8855334088348,-251.3639056442262,-327.246383792425,-301.0507127123308,-390.86993777426443,-320.2832946664162,45.30593924327206,4,0.7309680250280275,0.7646667958499214,0.46035057153926484,0.6376714088738039,0.5014508203651669,0.6190215243312369,0.12090634724318523,4
21,0.6285883903503418,0.04392134505384308,0.012821340560913086,0.011534525211109944,20000,"(15, 15, 10)",0.0001,identity,6,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 6}",-338.546776460884,-273.7503098336797,-315.6024558904717,-295.2608894311174,-389.30431561500035,-322.4929494462307,39.71496675476777,5,0.7183655962952864,0.7208827900636308,0.4980704583835376,0.6514740391028515,0.5054366803632515,0.6188459128417115,0.09882170889247513,5
33,0.49259223937988283,0.02148730229169902,0.00432119369506836,0.002936501074643374,20000,"(15, 15, 10)",0.0003,identity,6,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 6}",-338.54677647566916,-273.7503098421411,-315.6024558903198,-295.2608894379309,-389.30431559803657,-322.4929494488195,39.714966747249456,6,0.7183655962706872,0.7208827900463761,0.49807045838402075,0.6514740390867662,0.5054366804063525,0.6188459128388406,0.09882170887288438,6
34,0.4979280948638916,0.03584575541450072,0.004025030136108399,0.004929635722666534,20000,"(15, 15, 10)",0.0001,identity,5,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 5}",-338.46952867144324,-271.9180984390635,-319.2385770045191,-294.15660341819466,-390.033946978777,-322.7633509023995,40.46733706905003,7,0.7184941052907166,0.7246065507881945,0.4864381652113464,0.6540761624420606,0.5035811290882426,0.6174392225641121,0.10311559862862538,7
9,0.48166699409484864,0.03130869134911883,0.005217742919921875,0.0016093265773627667,10000,"(20, 15, 10, 1)",0.0002,identity,9,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 9}",-338.2534983198976,-278.9622431904566,-316.36170051366264,-297.23814778672886,-385.8070144001152,-323.32452084217215,36.943004139651634,8,0.7188533365055912,0.7101533870446829,0.495652570377195,0.6467904978016179,0.5142825511349438,0.6171464685728061,0.09509478970656474,8
19,0.5714165210723877,0.04373187933608855,0.009040594100952148,0.001243424148382898,20000,"(15, 15, 10)",0.0003,identity,9,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 9}",-336.7110987182661,-276.7989207916421,-316.44209410319706,-295.6893955473808,-392.39925662118156,-323.6081531563335,39.81410996534411,9,0.7214114878736009,0.7146314151897872,0.4953962090542462,0.6504616877734579,0.49754193842537087,0.6158885476632926,0.10060305203784896,9
32,0.5161094188690185,0.008493484782865579,0.005186557769775391,0.00039923200681337264,10000,"(15, 10, 10, 1)",0.0003,identity,11,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 11}",-334.36048207422436,-276.2011943032368,-323.9282565008774,-296.6570907956886,-387.224906340929,-323.67438600299124,37.7797932900013,10,0.7252876237646493,0.7158625485519226,0.47123868231232113,0.6481700935908035,0.5107058386700634,0.6142529573779519,0.10486054258135538,10
