;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__kernel;param_model__degree;param_model__C;param_PCA__n_components;params;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2
38;0.046135235;0.011135027;0.018514109;0.002587607;rbf;2;1000;4;{'model__kernel': 'rbf', 'model__degree': 2, 'model__C': 1000.0, 'PCA__n_components': 4};-297.8693955;-218.3083317;-296.0037094;-270.5303236;-288.7975189;-274.3018558;29.61763942;1;0.781978106;0.822491973;0.558473966;0.70741289;0.727836186;0.719638624;0.090172876;1
8;0.033663559;0.002983535;0.015631247;0.002295088;rbf;3;100;9;{'model__kernel': 'rbf', 'model__degree': 3, 'model__C': 100.0, 'PCA__n_components': 9};-405.3223193;-290.424491;-289.3799177;-314.5777324;-346.1089426;-329.1626806;43.32090174;2;0.596308711;0.685845091;0.578013277;0.604379087;0.609096906;0.614728615;0.037104423;2
41;0.04511137;0.025904715;0.004990911;0.001546684;linear;2;10;7;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 7};-343.3925001;-275.9244518;-327.2137544;-304.9584617;-404.1082413;-331.1194819;42.95144004;4;0.710245659;0.716431652;0.460458182;0.628204043;0.467108391;0.596489585;0.112762038;3
9;0.063728762;0.038497999;0.008393908;0.000812351;linear;2;10;8;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 8};-343.3898614;-274.3665099;-327.1125591;-304.994378;-405.5962934;-331.0919204;43.85619722;3;0.710250112;0.719624814;0.460791852;0.628116462;0.463176621;0.596391972;0.114271759;4
20;0.03957243;0.007363744;0.008014297;0.00252656;linear;2;10;9;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 9};-343.8769892;-274.6977844;-328.6926966;-302.9703527;-409.029054;-331.8533754;45.19210801;6;0.709427459;0.718947347;0.455569913;0.633035924;0.454051368;0.594206402;0.117649851;5
4;0.039492846;0.00405692;0.007986069;9.97E-06;poly;1;1000;12;{'model__kernel': 'poly', 'model__degree': 1, 'model__C': 1000.0, 'PCA__n_components': 12};-343.724673;-272.6124343;-330.2308454;-302.4719375;-409.2742833;-331.6628347;45.8478653;5;0.709684813;0.723198335;0.450462565;0.634242313;0.453396536;0.594196912;0.120055625;6
40;0.44968667;0.223912516;0.006329489;0.002317595;linear;1;1000;11;{'model__kernel': 'linear', 'model__degree': 1, 'model__C': 1000.0, 'PCA__n_components': 11};-346.0997989;-272.2810797;-333.553352;-308.7207279;-419.0625961;-335.9435109;48.60376616;7;0.705658815;0.723870819;0.439348965;0.618973778;0.426938457;0.582958167;0.127416405;7
2;0.0359478;0.004377765;0.006812286;0.002425385;linear;1;1;5;{'model__kernel': 'linear', 'model__degree': 1, 'model__C': 1.0, 'PCA__n_components': 5};-405.3086252;-319.6176966;-337.4125595;-337.1658738;-394.1013858;-358.7212282;34.26344981;8;0.596335989;0.619513711;0.426300465;0.545524467;0.493173411;0.536169609;0.070105132;8
39;0.02968955;0.004646564;0.009232903;0.001653509;linear;2;0.1;9;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 0.1, 'PCA__n_components': 9};-608.6141114;-471.9882961;-422.1283792;-470.6994888;-522.1561511;-499.1172854;63.23162048;10;0.089809338;0.170264187;0.102052161;0.11425086;0.110298621;0.117335033;0.027755175;9
13;0.083022356;0.017224353;0.007192039;0.001604768;poly;2;1000;5;{'model__kernel': 'poly', 'model__degree': 2, 'model__C': 1000.0, 'PCA__n_components': 5};-559.7316193;-472.5176203;-430.4355241;-489.9499274;-539.4016094;-498.4072601;46.48262153;9;0.230146618;0.168402083;0.066362638;0.040319476;0.050559087;0.11115798;0.0750095;10
49;0.03130765;0.009049982;0.008921909;0.002917711;poly;1;10;7;{'model__kernel': 'poly', 'model__degree': 1, 'model__C': 10.0, 'PCA__n_components': 7};-625.4205903;-477.382546;-427.3953762;-481.8397683;-520.2398807;-506.4556323;66.39936134;11;0.038846636;0.151190075;0.079504546;0.071827774;0.116816901;0.091637186;0.038747956;11
19;0.030357027;0.003197208;0.010809946;0.001589527;sigmoid;2;10;7;{'model__kernel': 'sigmoid', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 7};-631.5421109;-484.4636962;-433.1996239;-489.1936969;-527.088716;-513.0975688;66.33225022;12;0.019939313;0.125822039;0.054333181;0.043279695;0.093410042;0.067356854;0.037668808;12
12;0.031644344;0.002652921;0.007989645;0.002526021;sigmoid;1;1;6;{'model__kernel': 'sigmoid', 'model__degree': 1, 'model__C': 1.0, 'PCA__n_components': 6};-679.809194;-535.5850606;-468.4676541;-525.8530521;-579.8089508;-557.9047823;70.51944619;13;-0.135592218;-0.068400999;-0.105913677;-0.105483039;-0.097016848;-0.102481356;0.021486981;13
31;0.031990862;0.008257438;0.0124053;0.007820219;linear;4;0.01;9;{'model__kernel': 'linear', 'model__degree': 4, 'model__C': 0.01, 'PCA__n_components': 9};-678.3262543;-537.138386;-470.390302;-523.0880803;-580.8991923;-557.968443;69.75999391;14;-0.130643247;-0.074607225;-0.115009911;-0.09388819;-0.10114627;-0.103058969;0.018978834;14
18;0.027162075;0.001595997;0.007988405;5.98E-06;poly;2;1;8;{'model__kernel': 'poly', 'model__degree': 2, 'model__C': 1.0, 'PCA__n_components': 8};-689.2674598;-545.3979742;-478.2920741;-533.3989529;-591.6220966;-567.5957115;70.73694795;15;-0.167411298;-0.107909834;-0.152785161;-0.13743766;-0.142173919;-0.141543575;0.019717996;15
47;0.02849021;0.009280519;0.008007097;0.00359419;linear;4;0.001;6;{'model__kernel': 'linear', 'model__degree': 4, 'model__C': 0.001, 'PCA__n_components': 6};-688.7672474;-546.2699801;-478.1591923;-533.6528464;-592.919657;-567.9537847;70.61019493;17;-0.165717495;-0.111455415;-0.152144703;-0.13852074;-0.147189502;-0.143005571;0.018068683;16
37;0.037206459;0.004351285;0.012812662;0.003713015;sigmoid;4;0.1;12;{'model__kernel': 'sigmoid', 'model__degree': 4, 'model__C': 0.1, 'PCA__n_components': 12};-688.3956806;-546.7657433;-477.6412564;-534.1468783;-593.3240972;-568.0547311;70.56634449;18;-0.164460103;-0.113473716;-0.149650078;-0.140629698;-0.148755069;-0.143393733;0.01681978;17
11;0.030324793;0.00423502;0.01598196;5.20E-06;rbf;5;0.1;9;{'model__kernel': 'rbf', 'model__degree': 5, 'model__C': 0.1, 'PCA__n_components': 9};-688.4283472;-546.9969289;-477.8684358;-534.1740095;-593.7606293;-568.2456701;70.53413439;19;-0.164570621;-0.114415522;-0.150743949;-0.140745575;-0.15044606;-0.144184345;0.016708355;18
35;0.031598854;0.002627469;0.009993124;0.003995585;sigmoid;4;0.1;2;{'model__kernel': 'sigmoid', 'model__degree': 4, 'model__C': 0.1, 'PCA__n_components': 2};-688.7738624;-547.0280692;-477.7913179;-534.4226093;-593.7136998;-568.3459117;70.64246781;20;-0.165739887;-0.114542412;-0.150372568;-0.141807607;-0.15026421;-0.144545337;0.016873303;19
33;0.037551355;0.011742088;0.007986784;4.19E-06;linear;2;10;2;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 2};-650.3612616;-524.9378615;-444.3873373;-561.7190989;-656.9985052;-567.6808129;79.84671543;16;-0.039340067;-0.026344529;0.004857304;-0.261425676;-0.408549875;-0.146160569;0.161683081;20
43;0.035313034;0.002500701;0.010451841;0.000768469;sigmoid;5;0.01;12;{'model__kernel': 'sigmoid', 'model__degree': 5, 'model__C': 0.01, 'PCA__n_components': 12};-689.492337;-548.0091578;-478.7258224;-535.0057746;-594.7492509;-569.1964686;70.60720098;21;-0.168173171;-0.118543835;-0.15487696;-0.144300862;-0.154280274;-0.14803502;0.016583331;21
14;0.030273485;0.002104872;0.01078434;0.002389063;sigmoid;3;0.001;12;{'model__kernel': 'sigmoid', 'model__degree': 3, 'model__C': 0.001, 'PCA__n_components': 12};-689.6021255;-548.1337778;-478.83455;-535.0957066;-594.8923635;-569.3117047;70.61091996;22;-0.168545219;-0.119052618;-0.155401607;-0.144685598;-0.154835843;-0.148504177;0.016560699;22
34;0.030815029;0.004328789;0.015605545;0.00077652;rbf;2;0.001;1;{'model__kernel': 'rbf', 'model__degree': 2, 'model__C': 0.001, 'PCA__n_components': 1};-689.6143212;-548.1476229;-478.846603;-535.1057816;-594.9082388;-569.3245135;70.61132974;23;-0.168586551;-0.11910915;-0.155459775;-0.144728703;-0.154897479;-0.148556332;0.016558168;23
21;0.024411964;0.003572845;0.008595943;0.00085762;poly;2;0.001;6;{'model__kernel': 'poly', 'model__degree': 2, 'model__C': 0.001, 'PCA__n_components': 6};-689.9445498;-548.1358551;-478.8752407;-535.094387;-594.8678284;-569.3835722;70.71544158;24;-0.169705997;-0.1190611;-0.155597985;-0.144679952;-0.154740587;-0.148757124;0.016851894;24
17;0.023966789;0.002525342;0.0071908;0.001597096;linear;3;0.01;1;{'model__kernel': 'linear', 'model__degree': 3, 'model__C': 0.01, 'PCA__n_components': 1};-690.802005;-548.1260715;-479.685813;-534.4730613;-594.4450675;-569.5064036;70.83325779;25;-0.172615199;-0.119021152;-0.159513361;-0.142023201;-0.153099867;-0.149254556;0.018067099;25
16;0.026578045;0.001449967;0.008788157;0.001597024;poly;2;0.01;9;{'model__kernel': 'poly', 'model__degree': 2, 'model__C': 0.01, 'PCA__n_components': 9};-690.4655757;-548.0364385;-479.4706445;-534.9966766;-594.5653368;-569.5069344;70.73526704;26;-0.17147332;-0.118655204;-0.158473369;-0.144261944;-0.15356651;-0.149286069;0.017654996;26
45;0.046304131;0.001857784;0.009194756;0.001939339;poly;5;0.001;3;{'model__kernel': 'poly', 'model__degree': 5, 'model__C': 0.001, 'PCA__n_components': 3};-690.473808;-547.6466249;-479.5585003;-535.5307391;-611.7288498;-572.9877044;72.21921021;27;-0.171501255;-0.11706439;-0.158897954;-0.146547612;-0.22112857;-0.163027956;0.034201714;27
0;0.030380392;0.001960535;0.007967281;1.90E-05;sigmoid;1;100;11;{'model__kernel': 'sigmoid', 'model__degree': 1, 'model__C': 100.0, 'PCA__n_components': 11};-647.7784723;-815.9036636;-690.0373437;-838.1558224;-1135.934184;-825.5618972;171.2055464;28;-0.031101366;-1.47944879;-1.399425105;-1.80848959;-3.210656414;-1.585824253;1.015173191;28
42;0.035319042;0.006585924;0.011682701;0.001527198;sigmoid;2;100;4;{'model__kernel': 'sigmoid', 'model__degree': 2, 'model__C': 100.0, 'PCA__n_components': 4};-664.2063635;-840.8460936;-720.8346308;-862.972027;-1151.242573;-848.0203376;168.6312711;29;-0.084062707;-1.633360993;-1.618383741;-1.977259726;-3.32491075;-1.727595583;1.03303007;29
30;0.035950661;0.004376894;0.008788824;0.001598478;sigmoid;5;1000;10;{'model__kernel': 'sigmoid', 'model__degree': 5, 'model__C': 1000.0, 'PCA__n_components': 10};-3683.446583;-6402.537182;-4614.436343;-6255.680977;-10063.04915;-6203.830046;2182.395484;30;-32.33934724;-151.6798044;-106.2999025;-155.4488847;-329.4476396;-155.0431157;97.83714027;30
1;0.035950851;0.006684674;0.007989454;1.74E-06;sigmoid;4;1000;2;{'model__kernel': 'sigmoid', 'model__degree': 4, 'model__C': 1000.0, 'PCA__n_components': 2};-4957.294273;-8692.570701;-6374.528168;-8609.377742;-11921.07859;-8110.969896;2369.155883;31;-59.38620545;-280.4322351;-203.7661187;-295.3239897;-462.7400123;-260.3297122;131.2831851;31
